Date,MMM,AOS,ADP,ALK,ALLE,AAL,AME,BA,BR,CHRW,CARR,CAT,CPRT,CSGP,CSX,CMI,DE,DOV,ETN,EMR,EFX,EXPD,FAST,FDX,FTV,GNRC,GD,GE,HON,HWM,ITW,IR,JBHT,J,JCI,LHX,LDOS,LMT,MAS,NSC,NOC,ODFL,OTIS,PCAR,PH,PAYX,PNR,PWR,RTX,RSG,RHI,ROK,ROL,LUV,SWK,TXT,TT,UNP,UAL,UPS,URI,VRSK,WAB,WM,XYL
2014-12-31,127.02297973632812,24.844209671020508,69.71612548828125,54.63787078857422,51.11254119873047,50.81460952758789,49.763450622558594,113.68344116210938,39.80333709716797,61.55339431762695,,72.3365249633789,9.1225004196167,18.363000869750977,10.589407920837402,114.08926391601562,75.88722229003906,49.251220703125,54.32069396972656,48.407386779785156,74.16891479492188,40.161746978759766,18.995145797729492,156.8570556640625,,46.7599983215332,114.78356170654297,131.48228454589844,80.44612121582031,,78.5016098022461,,78.03108215332031,42.374725341796875,33.40782928466797,61.22838592529297,26.822050094604492,154.2904510498047,19.737751007080078,91.6059799194336,129.03575134277344,50.54301071166992,,33.471534729003906,110.96951293945312,35.92399215698242,38.18136215209961,27.965003967285156,59.32258224487305,34.284549713134766,49.72287368774414,93.89209747314453,8.798505783081055,39.75003433227539,81.04560852050781,41.554115295410156,42.26433563232422,99.1862564086914,66.88999938964844,86.5291976928711,101.67742919921875,62.269508361816406,82.94012451171875,43.141395568847656,34.24216842651367
2015-01-02,126.82199096679688,24.66804313659668,69.64921569824219,55.159019470214844,50.73467254638672,51.07991027832031,49.75398635864258,113.65721893310547,39.303428649902344,60.69037628173828,,72.61312866210938,9.145000457763672,18.01300048828125,10.47834300994873,115.86981964111328,75.77571105957031,49.42976379394531,54.296714782714844,48.454437255859375,74.58159637451172,39.99068832397461,18.931241989135742,155.76412963867188,,46.369998931884766,115.475830078125,130.38973999023438,80.6956787109375,,78.48503112792969,,77.0771255493164,42.32731246948242,33.21741485595703,61.05788803100586,26.587848663330078,154.88336181640625,19.58893585205078,91.22151947021484,128.22157287597656,50.45838928222656,,33.54042434692383,111.15025329589844,35.97847366333008,38.3308219909668,27.92560577392578,59.34321975708008,34.557106018066406,49.29701232910156,93.75702667236328,8.625722885131836,40.097572326660156,80.9949951171875,41.61332702636719,42.17765808105469,98.7533187866211,66.33999633789062,85.9142837524414,103.25227355957031,62.19172668457031,83.1501235961914,43.50288391113281,34.25116729736328
2015-01-05,123.96184539794922,24.236431121826172,69.59902954101562,54.37273025512695,50.63328552246094,51.05149459838867,48.260047912597656,112.87006378173828,38.71731185913086,58.02737045288086,,68.78018188476562,9.055000305175781,17.655000686645508,10.194823265075684,111.9446792602539,74.1545181274414,47.70610809326172,52.050682067871094,47.458534240722656,73.95796966552734,38.74829864501953,18.60773468017578,153.37051391601562,,45.97999954223633,113.06539916992188,127.99624633789062,79.15792083740234,,76.54527282714844,,75.8082275390625,40.80072784423828,32.71470642089844,59.412506103515625,26.168752670288086,151.66249084472656,19.25214195251465,88.91487121582031,125.51630401611328,49.17593002319336,,32.41339111328125,106.38272094726562,36.04072570800781,36.76725387573242,27.1375789642334,58.35280227661133,34.36119842529297,48.26644515991211,90.60758209228516,8.617745399475098,39.111328125,79.2657699584961,40.81401443481445,41.444244384765625,95.41463470458984,66.1500015258789,84.19412994384766,91.94924926757812,61.38480758666992,81.26966857910156,43.06575012207031,32.119449615478516
2015-01-06,122.63996887207031,24.038244247436523,69.02204895019531,53.732723236083984,50.55034255981445,50.255592346191406,47.333431243896484,111.5406265258789,39.0103759765625,57.27119064331055,,68.33760070800781,8.952500343322754,17.58300018310547,9.788551330566406,112.56985473632812,73.53691101074219,47.47949981689453,51.46718215942383,47.380104064941406,73.37100982666016,38.307151794433594,18.28822135925293,153.36151123046875,,45.79999923706055,113.19886016845703,125.23860931396484,78.9727783203125,,75.49251556396484,,74.5023193359375,40.061134338378906,32.35670852661133,58.21897506713867,26.119449615478516,150.94937133789062,19.2286434173584,86.08171844482422,126.20793151855469,48.25151443481445,,32.45768737792969,104.82508850097656,35.78395080566406,36.451072692871094,26.80266761779785,57.527435302734375,34.48044967651367,47.97686004638672,89.56904602050781,8.482183456420898,38.00298309326172,78.47283935546875,40.63639831542969,40.57749557495117,93.44140625,64.58000183105469,83.6415023803711,89.09857177734375,61.17091369628906,80.21967315673828,43.099369049072266,31.930566787719727
2015-01-07,123.52893829345703,24.214405059814453,69.6241226196289,54.55557632446289,51.24155044555664,50.227149963378906,47.47525405883789,113.27238464355469,39.648197174072266,57.29586410522461,,69.39662170410156,8.979999542236328,17.677000045776367,9.917157173156738,113.10796356201172,73.21955871582031,47.870941162109375,51.619049072265625,47.278167724609375,74.60911560058594,38.316165924072266,18.168399810791016,154.4905242919922,,45.08000183105469,112.76512145996094,125.29065704345703,79.54438781738281,,76.31319427490234,,74.38191223144531,39.530147552490234,32.874656677246094,58.37242889404297,26.544710159301758,152.89634704589844,19.519508361816406,86.08171844482422,130.20008850097656,47.99113082885742,,32.89077377319336,105.64262390136719,36.43754196166992,36.72699737548828,26.782970428466797,58.15161895751953,34.36119842529297,48.64971160888672,89.72102355957031,8.668254852294922,38.322330474853516,79.82250213623047,40.90281677246094,40.797515869140625,93.95759582519531,65.52999877929688,84.41985321044922,88.29121398925781,61.20981216430664,81.00240325927734,43.132999420166016,32.182411193847656
2015-01-08,126.4896011352539,24.844209671020508,71.22129821777344,55.49729537963867,51.93276596069336,50.84303283691406,48.64772033691406,115.27526092529297,40.24290466308594,59.86846923828125,,70.1078872680664,9.072500228881836,18.003999710083008,10.07498836517334,115.39497375488281,74.1888427734375,48.8460578918457,53.46543884277344,48.517173767089844,76.20496368408203,39.36049270629883,18.579774856567383,158.10350036621094,,45.77000045776367,115.48419189453125,126.799560546875,80.99357604980469,,78.1534423828125,,75.26179504394531,40.95242691040039,33.506874084472656,59.71088409423828,26.61866569519043,156.34156799316406,20.297775268554688,86.90907287597656,133.22048950195312,49.25405502319336,,33.323890686035156,108.98159790039062,37.00553894042969,37.681236267089844,27.600540161132812,59.14204788208008,34.676368713378906,49.961360931396484,92.36386108398438,8.862300872802734,39.336753845214844,81.34083557128906,42.74812698364258,41.6242790222168,97.47944641113281,66.63999938964844,85.93766021728516,90.175048828125,61.822288513183594,82.66329193115234,43.62897491455078,32.425262451171875
2015-01-09,124.9358139038086,24.447826385498047,70.71122741699219,54.610435485839844,51.49961471557617,49.28912353515625,48.212772369384766,115.04786682128906,40.26013946533203,59.22737503051758,,69.27014923095703,9.029999732971191,17.719999313354492,10.05453109741211,113.6382064819336,73.4682846069336,47.822853088378906,52.80202102661133,47.756534576416016,75.88394927978516,39.12641525268555,18.36809730529785,155.95382690429688,,45.220001220703125,115.90958404541016,125.03050994873047,79.64903259277344,,77.56489562988281,,74.84500122070312,39.8525276184082,33.30119323730469,59.62564468383789,26.1132869720459,156.2534637451172,19.951881408691406,86.2237777709961,133.71949768066406,48.258033752441406,,32.10334014892578,108.30178833007812,36.67874526977539,37.43406677246094,27.117877960205078,58.81706237792969,34.429344177246094,49.87617874145508,90.77648162841797,8.748000144958496,38.31294631958008,79.80561828613281,42.017906188964844,41.1708869934082,95.73101043701172,65.33999633789062,85.30718231201172,88.9989013671875,61.33619689941406,81.00240325927734,43.31791305541992,31.813642501831055
2015-01-12,124.25558471679688,24.54472541809082,70.36837768554688,55.415008544921875,50.679386138916016,46.97721862792969,47.01194763183594,114.46186065673828,40.23428726196289,59.917781829833984,,68.66949462890625,8.907500267028809,17.694000244140625,9.911310195922852,112.8151626586914,73.29672241210938,47.20481872558594,52.33842086791992,47.184059143066406,75.77389526367188,39.26145935058594,18.236299514770508,155.87249755859375,,44.66999816894531,115.01710510253906,124.77033996582031,79.26258850097656,,77.20845794677734,,73.97439575195312,38.64833068847656,32.95844650268555,58.72196960449219,25.872922897338867,155.81275939941406,19.802520751953125,85.22085571289062,133.04539489746094,47.73724365234375,,32.398624420166016,108.25012969970703,36.63206100463867,37.15238571166992,26.280601501464844,59.03886795043945,34.19935989379883,49.09260177612305,89.5014877319336,8.620405197143555,37.805747985839844,79.29950714111328,41.58372116088867,41.47091293334961,94.89010620117188,65.91999816894531,85.3382797241211,85.50033569335938,61.21952819824219,80.08605194091797,43.26750564575195,31.121065139770508
2015-01-13,124.1628189086914,24.43902587890625,70.22620391845703,56.146453857421875,50.78074264526367,47.754188537597656,47.01194763183594,114.7242431640625,40.32048797607422,60.50133514404297,,68.25858306884766,8.880000114440918,17.523000717163086,9.806092262268066,111.8497085571289,73.67414855957031,47.48637008666992,52.32243728637695,47.11349105834961,76.26000213623047,39.378501892089844,18.32416534423828,154.90609741210938,,45.0,114.92533111572266,124.1459732055664,79.826171875,,77.11725616455078,,74.16890716552734,38.174224853515625,33.02699279785156,58.33833312988281,26.492525100708008,155.7166748046875,19.456615447998047,84.81969451904297,133.07164001464844,47.73724365234375,,32.16732406616211,106.85603332519531,36.63206100463867,37.36506652832031,26.073745727539062,58.98211669921875,34.13121795654297,48.91374206542969,88.21805572509766,8.692176818847656,38.02178192138672,78.84400177001953,41.8698844909668,41.26424789428711,93.10836029052734,66.41000366210938,85.7041244506836,85.53024291992188,61.666744232177734,79.66605377197266,43.30111312866211,31.193017959594727
2015-01-14,123.5598373413086,24.377365112304688,70.0255126953125,56.265296936035156,50.99272918701172,46.81614303588867,46.42570495605469,114.03330993652344,39.98432540893555,59.97531509399414,,68.021484375,8.832500457763672,17.44300079345703,9.835320472717285,112.68854522705078,74.18024444580078,47.23228073120117,51.34728240966797,46.75277328491211,76.10409545898438,39.16242980957031,17.944740295410156,156.03509521484375,,45.209999084472656,115.076171875,123.729736328125,79.45581817626953,,76.95975494384766,,72.62215423583984,37.823402404785156,32.64613723754883,58.32980728149414,26.142038345336914,154.81932067871094,19.220781326293945,84.46871185302734,133.16799926757812,47.31409454345703,,31.867094039916992,105.30704498291016,36.67874526977539,37.54327392578125,25.945693969726562,58.559112548828125,34.10565948486328,48.24940490722656,88.54737091064453,8.662934303283691,37.044925689697266,78.94524383544922,41.633056640625,40.957550048828125,92.71703338623047,64.05000305175781,85.12816619873047,83.72614288330078,61.21952819824219,79.41786193847656,43.553306579589844,30.99513816833496
