Date,APA,BKR,CVX,COP,CTRA,DVN,FANG,EOG,EQT,XOM,HAL,HES,KMI,MRO,MPC,OXY,OKE,PSX,PXD,SLB,TRGP,VLO,WMB
2014-12-31,53.3204231262207,31.902679443359375,78.66165161132812,53.12099075317383,23.472084045410156,46.23284149169922,51.33852767944336,74.06959533691406,39.4468994140625,63.45941162109375,33.949588775634766,63.89206314086914,28.123750686645508,24.891265869140625,34.201595306396484,60.65576171875,29.016469955444336,52.8876953125,121.01152801513672,67.29025268554688,66.38797760009766,35.14007568359375,27.13177490234375
2015-01-02,54.30736541748047,31.95957374572754,78.94212341308594,53.0133056640625,23.860515594482422,46.04401779174805,51.46733093261719,74.20634460449219,40.39528274536133,63.72026443481445,34.087703704833984,64.16901397705078,28.456104278564453,25.164026260375977,34.724510192871094,60.685848236083984,29.092233657836914,53.32289505004883,121.85699462890625,67.49510192871094,67.02024841308594,35.73638153076172,27.30082893371582
2015-01-05,50.97217559814453,31.384910583496094,75.78669738769531,50.49032974243164,22.55254364013672,44.33699035644531,49.19154357910156,69.73339080810547,38.23794937133789,61.97676467895508,33.41440200805664,61.061824798583984,27.68503189086914,23.993810653686523,33.75825881958008,58.43598175048828,27.42548370361328,50.09946823120117,113.6784896850586,65.66732025146484,62.093570709228516,34.26689910888672,26.220129013061523
2015-01-06,50.41914749145508,31.288188934326172,75.75163269042969,48.405799865722656,22.235458374023438,43.430625915527344,49.26884078979492,67.74629974365234,37.80023193359375,61.64725875854492,33.086387634277344,60.1183967590332,27.139982223510742,23.63306427001953,33.424800872802734,57.93937683105469,26.283252716064453,48.6979866027832,113.377685546875,64.38311004638672,60.165504455566406,33.84805679321289,25.86393165588379
2015-01-07,49.85761260986328,32.13026428222656,75.68852233886719,48.728858947753906,22.425708770751953,43.63456344604492,50.02457809448242,67.3199234008789,37.85233688354492,62.27190399169922,33.9754753112793,59.97993469238281,27.498926162719727,23.923412322998047,33.701412200927734,57.9468994140625,26.0909366607666,48.911895751953125,112.13379669189453,64.3752212524414,59.59581756591797,33.58539581298828,25.72507667541504
2015-01-08,51.7889518737793,32.44889831542969,77.4205093383789,49.9442024230957,22.877553939819336,45.18295669555664,52.463539123535156,69.89429473876953,39.36872863769531,63.30842208862305,34.70920181274414,61.78018569946289,28.1436824798584,24.40734100341797,34.49336624145508,58.45857620239258,26.376487731933594,50.81496047973633,114.96298217773438,65.15518188476562,61.27976608276367,35.50923156738281,25.97260284423828
2015-01-09,51.63581848144531,32.13026428222656,75.87783813476562,49.9365119934082,23.82086944580078,45.62858963012695,53.107635498046875,70.36088562011719,39.64491653442383,63.21916198730469,34.35529327392578,61.55514907836914,27.79138946533203,24.328157424926758,33.53090286254883,58.3456916809082,25.47901153564453,49.64951705932617,115.86536407470703,63.98917770385742,58.105926513671875,34.536659240722656,25.64659309387207
2015-01-12,49.73850631713867,31.345075607299805,74.2440414428711,48.513492584228516,23.27390480041504,44.661781311035156,51.072303771972656,67.98762512207031,37.8262825012207,62.004207611083984,33.267662048339844,59.226924896240234,27.658449172973633,23.087547302246094,32.36760711669922,56.396827697753906,23.95213508605957,47.385009765625,109.69489288330078,61.49169921875,55.88359069824219,33.627994537353516,24.922103881835938
2015-01-13,49.73850631713867,31.43043327331543,73.06599426269531,48.02889633178711,23.51171112060547,44.48051452636719,52.59236526489258,68.43013000488281,37.847129821777344,61.777706146240234,33.05186080932617,58.586448669433594,27.179861068725586,22.77959442138672,30.63972282409668,56.411888122558594,23.445131301879883,45.36391830444336,112.10128784179688,61.27897262573242,53.75515365600586,32.61993408203125,24.716835021972656
2015-01-14,50.648860931396484,31.185768127441406,72.85564422607422,48.16735076904297,23.392810821533203,44.18592834472656,56.07905578613281,70.72583770751953,38.15458297729492,61.5992317199707,33.09501647949219,59.92799377441406,27.399221420288086,22.8411865234375,29.415803909301758,56.795623779296875,24.66312599182129,43.82965850830078,115.62959289550781,61.75956344604492,53.51728439331055,31.84613800048828,25.073041915893555
2015-01-15,51.04875946044922,30.457477569580078,71.99315643310547,47.23662185668945,22.81413459777832,43.70254135131836,54.49028396606445,69.7504653930664,37.79501724243164,61.063819885253906,32.22319412231445,58.7855339050293,27.100093841552734,22.410051345825195,29.120241165161133,57.17940139770508,24.651472091674805,43.586246490478516,114.88168334960938,60.372955322265625,54.23094177246094,31.28532600402832,25.133413314819336
2015-01-16,52.96308517456055,32.181480407714844,73.71109771728516,48.52117919921875,23.020240783691406,45.84762954711914,56.36243438720703,72.79747772216797,39.389564514160156,62.54648971557617,33.776947021484375,60.603092193603516,27.605274200439453,23.404296875,29.38927459716797,58.736976623535156,24.99530601501465,44.86970520019531,121.92205810546875,64.07585144042969,55.67700958251953,32.229488372802734,25.356794357299805
2015-01-20,51.391273498535156,32.57976531982422,74.65773010253906,48.605796813964844,22.845840454101562,45.0469970703125,53.94065856933594,72.00753021240234,38.5922966003418,62.52587890625,34.38119125366211,60.21360778808594,27.798036575317383,22.823589324951172,30.47298812866211,58.6993408203125,25.461536407470703,46.927677154541016,119.8164291381836,63.40617370605469,56.146514892578125,33.0174674987793,25.4111328125
2015-01-21,53.23643493652344,33.18858337402344,75.84276580810547,49.644222259521484,23.00438690185547,46.52741622924805,58.861534118652344,72.98287200927734,39.99404525756836,63.061302185058594,35.1235237121582,61.806156158447266,27.91768455505371,23.395498275756836,30.67381477355957,59.624881744384766,26.440603256225586,48.86763381958008,124.33659362792969,64.7691421508789,57.60512161254883,33.50020217895508,25.821670532226562
