Date,ACN,ADBE,AKAM,AMD,APH,ADI,ANSS,AAPL,AMAT,ANET,ADSK,AVGO,CDNS,CDW,CDAY,CSCO,CTSH,GLW,DXC,ENPH,EPAM,FFIV,FSLR,FTNT,IT,GEN,HPE,PAYC
2014-12-31,77.83212280273438,72.69999694824219,62.959999084472656,2.6700000762939453,24.821077346801758,46.49074935913086,82.0,24.801620483398438,22.271446228027344,15.1899995803833,60.060001373291016,78.90084838867188,18.969999313354492,32.15461730957031,,21.475685119628906,48.837425231933594,18.485828399658203,21.12718391418457,14.289999961853027,47.75,130.47000122070312,44.599998474121094,6.131999969482422,84.20999908447266,10.221417427062988,,26.329999923706055
2015-01-02,77.42253112792969,72.33999633789062,63.25,2.6700000762939453,24.74266242980957,46.50749969482422,81.63999938964844,24.565692901611328,22.307191848754883,15.670000076293945,59.529998779296875,78.5086441040039,18.829999923706055,31.871200561523438,,21.460140228271484,48.84670639038086,18.550329208374023,21.19420051574707,14.210000038146973,46.470001220703125,130.3300018310547,44.54999923706055,6.1579999923706055,83.5999984741211,10.193534851074219,,26.059999465942383
2015-01-05,76.11531066894531,71.9800033569336,61.939998626708984,2.6600000858306885,24.290611267089844,45.66175079345703,80.86000061035156,23.87364387512207,21.592220306396484,15.949999809265137,58.65999984741211,77.25365447998047,18.399999618530273,31.532926559448242,,21.03264617919922,48.540653228759766,18.292346954345703,20.76529312133789,13.880000114440918,46.27000045776367,129.75999450683594,41.83000183105469,6.104000091552734,82.0999984741211,10.050130844116211,,25.18000030517578
2015-01-06,75.56625366210938,70.52999877929688,60.66999816894531,2.630000114440918,23.981565475463867,44.58992385864258,79.26000213623047,23.875896453857422,20.778934478759766,15.952500343322754,57.5,75.49666595458984,17.90999984741211,31.075794219970703,,21.024871826171875,47.27938461303711,17.97793960571289,20.818899154663086,12.9399995803833,46.290000915527344,126.7300033569336,40.86000061035156,5.989999771118164,81.3499984741211,9.89477825164795,,24.559999465942383
2015-01-07,77.1523666381836,71.11000061035156,60.15999984741211,2.5799999237060547,24.3920955657959,45.058841705322266,79.70999908447266,24.210681915283203,20.975557327270508,16.28499984741211,57.380001068115234,77.53602600097656,18.420000076293945,31.72492027282715,,21.21919059753418,48.82815933227539,18.235918045043945,20.969696044921875,11.399999618530273,47.290000915527344,128.35000610351562,41.75,6.076000213623047,82.5999984741211,9.986397743225098,,25.34000015258789
2015-01-08,78.32884979248047,72.91999816894531,61.56999969482422,2.609999895095825,24.86720848083496,45.85435104370117,81.66000366210938,25.14090919494629,21.64584732055664,16.530000686645508,58.79999923706055,81.41087341308594,18.610000610351562,32.52032470703125,,21.382413864135742,49.96887969970703,18.824434280395508,21.207605361938477,11.729999542236328,48.66999816894531,129.64999389648438,43.630001068115234,6.242000102996826,83.43000030517578,10.169633865356445,,26.420000076293945
2015-01-09,78.2417221069336,71.83999633789062,60.779998779296875,2.630000114440918,24.724212646484375,45.82086181640625,80.76000213623047,25.16787338256836,21.663719177246094,16.604999542236328,58.27000045776367,82.2815170288086,18.549999237060547,32.6483154296875,,21.600046157836914,50.19145584106445,18.792184829711914,21.542688369750977,11.529999732971191,48.34000015258789,129.88999938964844,44.20000076293945,6.214000225067139,83.11000061035156,10.101914405822754,,25.43000030517578
2015-01-12,78.00640869140625,71.12000274658203,60.75,2.630000114440918,24.424379348754883,45.36030197143555,79.91999816894531,24.54772186279297,21.14536476135254,16.517499923706055,57.290000915527344,80.9167251586914,18.360000610351562,32.6483154296875,,21.802133560180664,50.219276428222656,18.768001556396484,21.174095153808594,10.90999984741211,47.75,127.91999816894531,42.83000183105469,6.168000221252441,82.76000213623047,10.074031829833984,,24.68000030517578
2015-01-13,78.28530883789062,70.58999633789062,60.790000915527344,2.6600000858306885,24.36902618408203,44.841129302978516,80.62999725341797,24.765682220458984,20.850439071655273,16.3174991607666,57.34000015258789,80.4617691040039,18.43000030517578,33.16944885253906,,21.84099769592285,50.219276428222656,18.663196563720703,21.157337188720703,11.029999732971191,47.869998931884766,128.6699981689453,42.709999084472656,6.179999828338623,83.27999877929688,10.093950271606445,,23.610000610351562
2015-01-14,77.37024688720703,69.98999786376953,59.709999084472656,2.630000114440918,24.193750381469727,44.80763626098633,80.72000122070312,24.671302795410156,20.573381423950195,16.264999389648438,56.40999984741211,81.09712219238281,18.260000228881836,32.46547317504883,,21.701087951660156,50.46039962768555,18.74381446838379,21.26121711730957,10.8100004196167,46.41999816894531,125.5999984741211,42.279998779296875,6.184000015258789,82.5199966430664,10.042163848876953,,23.18000030517578
2015-01-15,76.838623046875,70.29000091552734,58.630001068115234,2.5199999809265137,23.953887939453125,44.154483795166016,80.83000183105469,24.001710891723633,20.850439071655273,15.802499771118164,55.709999084472656,79.47344970703125,17.729999542236328,32.346614837646484,,21.304683685302734,49.93177795410156,18.558391571044922,20.895971298217773,10.270000457763672,45.40999984741211,124.22000122070312,40.15999984741211,6.053999900817871,81.91999816894531,9.922663688659668,,23.610000610351562
2015-01-16,77.46610260009766,71.7300033569336,59.220001220703125,2.390000104904175,24.179903030395508,44.958377838134766,82.69000244140625,23.815217971801758,20.975557327270508,16.135000228881836,56.849998474121094,81.43441772460938,18.329999923706055,32.70317459106445,,21.514551162719727,51.04467010498047,18.679317474365234,21.073566436767578,10.779999732971191,47.45000076293945,126.29000091552734,40.720001220703125,6.184000015258789,83.91999816894531,10.209467887878418,,23.489999771118164
