Date,ABT,ABBV,A,ALGN,ABC,AMGN,BAX,BDX,TECH,BIIB,BSX,BMY,CAH,CTLT,CNC,CRL,CI,CVS,DHR,DVA,XRAY,DXCM,EW,ELV,LLY,GEHC,GILD,HCA,HSIC,HOLX,HUM,IDXX,ILMN,INCY,PODD,ISRG,IQV,JNJ,LH,MCK,MDT,MRK,MRNA,MOH,OGN,PKI,PFE,DGX,REGN,RMD,STE,SYK,TMO,UNH,UHS,VRTX,VTRS,WST,ZBH,ZTS
2014-12-31,38.53517150878906,46.2196159362793,38.147010803222656,55.90999984741211,79.1008529663086,126.55531311035156,35.51371383666992,120.63375854492188,21.649337768554688,339.45001220703125,13.25,46.97576141357422,62.9669075012207,27.8799991607666,25.962499618530273,63.63999938964844,98.86761474609375,78.5090560913086,62.35042190551758,75.73999786376953,50.04512023925781,13.762499809265137,21.229999542236328,112.21575927734375,57.772422790527344,,72.08911895751953,69.73335266113281,53.39215850830078,26.739999771118164,136.0717010498047,74.13500213623047,184.5800018310547,73.11000061035156,46.060001373291016,58.77111053466797,58.869998931884766,83.74303436279297,106.66180419921875,193.6083526611328,60.06062698364258,41.89279556274414,,53.529998779296875,,42.46060562133789,21.902324676513672,56.7901725769043,410.25,50.12533187866211,58.9134521484375,85.52587127685547,122.19044494628906,89.19662475585938,107.67533874511719,118.80000305175781,52.27945327758789,51.136688232421875,103.34516143798828,40.687931060791016
2015-01-02,38.43245315551758,46.537445068359375,37.885467529296875,56.20000076293945,79.36406707763672,127.03196716308594,35.523406982421875,121.2406005859375,21.424406051635742,342.010009765625,13.220000267028809,47.35773849487305,62.795318603515625,27.510000228881836,26.110000610351562,63.880001068115234,98.79077911376953,77.52271270751953,62.35771560668945,75.83000183105469,48.7862434387207,13.6274995803833,21.286666870117188,112.02823638916016,58.66843795776367,,72.58621215820312,70.28445434570312,53.66274642944336,26.3799991607666,135.46539306640625,73.66500091552734,185.4199981689453,73.76000213623047,45.18000030517578,58.39666748046875,59.11000061035156,83.7029800415039,110.14141082763672,193.25393676757812,59.7944450378418,42.1878547668457,,52.43000030517578,,42.810157775878906,22.028892517089844,58.407657623291016,410.1600036621094,51.11783981323242,59.195068359375,85.21759796142578,124.95043182373047,88.923095703125,107.39466857910156,123.06999969482422,52.26089859008789,50.09934997558594,102.5888671875,40.95268249511719
2015-01-05,38.441017150878906,45.66164016723633,37.17558670043945,56.9900016784668,78.68851470947266,125.52245330810547,34.64149475097656,121.98606872558594,21.166677474975586,336.739990234375,13.8100004196167,46.61765670776367,62.4365348815918,28.079999923706055,26.040000915527344,64.37999725341797,97.09028625488281,76.75647735595703,61.7393684387207,74.69999694824219,48.448020935058594,13.864999771118164,21.296667098999023,110.06376647949219,58.09062957763672,,74.02403259277344,68.2320785522461,53.18039321899414,26.1200008392334,131.87481689453125,73.15499877929688,190.72000122070312,74.22000122070312,45.09000015258789,57.1522216796875,58.40999984741211,83.11842346191406,111.10028076171875,194.8395233154297,59.544883728027344,42.81489181518555,,51.43000030517578,,41.80034255981445,21.909360885620117,56.97648239135742,412.4700012207031,51.019474029541016,58.604576110839844,83.90294647216797,123.23399353027344,87.45840454101562,105.19779205322266,121.02999877929688,51.6766242980957,49.40777587890625,106.41582489013672,40.70684814453125
2015-01-06,38.00447463989258,45.43563461303711,36.596473693847656,57.45000076293945,79.118408203125,121.47845458984375,34.45736312866211,121.75206756591797,20.981578826904297,334.6499938964844,13.699999809265137,46.53807830810547,61.76573944091797,26.549999237060547,26.125,64.6500015258789,97.47456359863281,76.81352996826172,61.31743621826172,73.62000274658203,47.84677505493164,13.552499771118164,21.170000076293945,111.56389617919922,58.38371658325195,,74.6817626953125,68.11805725097656,52.87058639526367,25.75,131.77061462402344,73.38999938964844,188.30999755859375,71.48999786376953,43.4900016784668,57.75444412231445,57.06999969482422,82.70996856689453,109.33081817626953,194.391845703125,59.24540710449219,44.496803283691406,,50.36000061035156,,41.421661376953125,22.092174530029297,56.12114334106445,396.8900146484375,50.65288543701172,58.640907287597656,83.78508758544922,122.08319091796875,87.28195190429688,105.23651123046875,117.36000061035156,50.24837112426758,48.562557220458984,105.51374816894531,40.30970764160156
2015-01-07,38.3126220703125,47.2719841003418,37.08218765258789,59.56999969482422,80.69762420654297,125.72107696533203,34.62211608886719,124.60401916503906,21.265085220336914,353.239990234375,14.029999732971191,47.14287567138672,63.98087692260742,27.809999465942383,26.267499923706055,66.19999694824219,99.76109313964844,78.19928741455078,61.68844223022461,74.29000091552734,49.08686447143555,13.899999618530273,21.666667938232422,112.11752319335938,57.97340393066406,,76.08131408691406,69.35327911376953,54.33333206176758,26.399999618530273,134.27169799804688,74.87000274658203,194.9199981689453,74.44999694824219,44.529998779296875,58.071109771728516,57.77000045776367,84.535888671875,111.24856567382812,200.29583740234375,60.72612380981445,45.44841003417969,,50.459999084472656,,41.67411422729492,22.39451789855957,56.832515716552734,407.7200012207031,50.99264907836914,59.11332702636719,85.37175750732422,125.7403793334961,88.1731185913086,108.3818130493164,120.66000366210938,52.03831481933594,49.350154876708984,108.137939453125,41.14179992675781
2015-01-08,39.100093841552734,47.76639175415039,38.19371032714844,61.439998626708984,80.8818588256836,125.26822662353516,35.518558502197266,126.875244140625,21.440811157226562,350.25,14.59000015258789,48.32064437866211,65.95419311523438,27.989999771118164,26.672500610351562,66.55999755859375,104.8432846069336,79.86225891113281,62.641414642333984,75.7699966430664,50.298770904541016,14.592499732971191,22.191667556762695,117.46624755859375,59.346744537353516,,78.23802947998047,71.19660186767578,55.09803771972656,27.110000610351562,140.0507049560547,75.41500091552734,196.82000732421875,73.20999908447266,40.52000045776367,59.22222137451172,59.20000076293945,85.2005844116211,114.24378967285156,202.58090209960938,62.1818733215332,46.363128662109375,,51.5099983215332,,42.722782135009766,22.851545333862305,58.33143997192383,403.25,51.85102462768555,60.666778564453125,86.82240295410156,127.04727172851562,92.38191223144531,109.49475860595703,123.97000122070312,52.53913497924805,50.320247650146484,109.28600311279297,41.775333404541016
2015-01-09,38.689231872558594,46.459747314453125,37.91350555419922,62.58000183105469,81.59251403808594,123.7269058227539,35.07275390625,125.37553405761719,21.50406265258789,342.3399963378906,14.649999618530273,48.0023307800293,65.39260864257812,27.56999969482422,26.467500686645508,66.7300033569336,103.75765991210938,79.8215103149414,62.2194938659668,75.22000122070312,49.566001892089844,14.547499656677246,22.19333267211914,115.9035873413086,58.55958557128906,,78.169189453125,70.93055725097656,55.37647247314453,26.760000228881836,139.02755737304688,74.99500274658203,194.8000030517578,72.02999877929688,41.290000915527344,57.87444305419922,58.81999969482422,84.03937530517578,114.66885375976562,202.0866241455078,61.89072799682617,46.149208068847656,,50.86000061035156,,42.28583526611328,22.957015991210938,58.19529342651367,411.0400085449219,52.00302505493164,60.00360870361328,85.77066040039062,126.5401382446289,91.51722717285156,109.21408081054688,122.20999908447266,51.78791046142578,49.74394607543945,107.7096939086914,41.84152603149414
2015-01-12,39.014488220214844,46.445640563964844,37.46514892578125,63.16999816894531,79.7763900756836,124.1161880493164,35.23749923706055,124.44803619384766,21.44314956665039,347.8399963378906,14.579999923706055,49.482513427734375,64.58922576904297,27.670000076293945,26.197500228881836,67.38999938964844,102.00917053222656,79.23457336425781,61.448394775390625,74.41999816894531,49.09626388549805,14.757499694824219,22.54833221435547,115.0374526977539,58.13250732421875,,77.4043960571289,68.6026382446289,54.8470573425293,28.729999542236328,137.85276794433594,75.63500213623047,190.10000610351562,73.30000305175781,40.650001525878906,58.38999938964844,59.060001373291016,83.75106811523438,114.51068115234375,200.21188354492188,61.94895553588867,45.9574089050293,,50.130001068115234,,42.17902374267578,23.04139518737793,57.94853210449219,413.3299865722656,52.47692108154297,58.84986877441406,85.24480438232422,125.32103729248047,90.48486328125,102.81707000732422,118.30999755859375,51.25927734375,49.83040237426758,107.96480560302734,41.05669403076172
2015-01-13,38.38634490966797,45.10784149169922,36.942073822021484,62.650001525878906,80.39933776855469,123.25813293457031,34.87409591674805,122.85293579101562,21.6704158782959,352.739990234375,14.5,50.230552673339844,64.34744262695312,28.1299991607666,26.68000030517578,68.88999938964844,102.63363647460938,79.2671890258789,61.3610954284668,74.54000091552734,48.94594192504883,14.9975004196167,22.270000457763672,116.33220672607422,58.099002838134766,,74.3452377319336,68.54562377929688,54.7215690612793,28.780000686645508,139.11277770996094,78.0,185.08999633789062,76.18000030517578,40.04999923706055,57.962223052978516,59.4900016784668,83.89523315429688,114.53046417236328,200.2025604248047,60.551414489746094,45.876258850097656,,51.779998779296875,,42.1304817199707,22.809364318847656,57.79536819458008,406.489990234375,53.49623489379883,58.84986877441406,85.42613220214844,125.1650161743164,90.94367218017578,102.82672119140625,120.5999984741211,51.45402908325195,50.40669631958008,108.20173645019531,40.47990798950195
2015-01-14,38.102386474609375,45.32843017578125,36.48438262939453,61.060001373291016,80.80289459228516,123.27404022216797,34.757781982421875,122.06407165527344,21.80865478515625,348.75,14.5,50.095272064208984,63.91847610473633,27.969999313354492,26.662500381469727,68.76000213623047,103.21966552734375,79.34053802490234,60.393577575683594,74.69000244140625,48.23195266723633,14.78499984741211,21.94499969482422,117.69841003417969,58.4172248840332,,75.9130859375,66.94933319091797,54.54509735107422,28.989999771118164,139.7854766845703,80.2249984741211,182.41000366210938,75.77999877929688,38.5,59.48444366455078,59.099998474121094,83.28660583496094,113.43319702148438,199.15789794921875,59.702911376953125,46.208213806152344,,50.279998779296875,,41.77064895629883,22.837480545043945,57.97404479980469,404.30999755859375,53.93435287475586,58.29570007324219,84.54667663574219,123.07794952392578,91.173095703125,100.94922637939453,120.37999725341797,50.62861251831055,49.59028625488281,106.77117919921875,40.687931060791016
