Date,ARE,AMT,AVB,BXP,CPT,CBRE,CCI,DLR,EQIX,EQR,ESS,EXR,FRT,PEAK,HST,INVH,IRM,KIM,MAA,PLD,PSA,O,REG,SBAC,SPG,UDR,VICI,WELL,WY
2014-12-31,70.292724609375,83.9693832397461,126.21852111816406,99.28313446044922,54.05085754394531,34.25,58.151912689208984,48.66042709350586,185.5000762939453,46.59659957885742,162.87574768066406,44.13041687011719,100.51510620117188,26.526264190673828,17.87535858154297,,22.80104637145996,17.005125045776367,56.72296142578125,33.944740295410156,134.85726928710938,32.403221130371094,47.14924240112305,107.5679702758789,122.69851684570312,23.480426788330078,,52.51142883300781,25.323659896850586
2015-01-02,71.12445831298828,84.66595458984375,128.0880584716797,101.265869140625,55.08298873901367,34.66999816894531,58.750431060791016,48.74116897583008,185.43460083007812,47.61494445800781,165.83209228515625,44.35618591308594,102.23231506347656,27.020282745361328,17.905437469482422,,22.977975845336914,17.22157859802246,57.83948516845703,34.260284423828125,136.5935516357422,33.02128219604492,47.910682678222656,107.77191162109375,124.8747329711914,23.89944839477539,,53.399715423583984,25.478893280029297
2015-01-05,71.97994232177734,83.4427261352539,128.95318603515625,102.18395233154297,54.86336898803711,33.91999816894531,58.37359619140625,49.68062210083008,183.52835083007812,48.036537170410156,166.49432373046875,45.334529876708984,103.61807250976562,27.29138946533203,17.76255989074707,,23.09003448486328,17.37715721130371,57.61921691894531,34.23663330078125,137.23556518554688,33.700435638427734,48.4503288269043,106.07234954833984,125.38678741455078,24.15085792541504,,54.05896759033203,25.478893280029297
2015-01-06,72.34430694580078,83.22185516357422,130.70675659179688,104.16667175292969,55.35383224487305,33.65999984741211,58.26275634765625,49.526493072509766,179.5275421142578,48.30894088745117,168.8909912109375,46.32038497924805,104.97373962402344,27.809499740600586,17.687355041503906,,23.302356719970703,17.478626251220703,58.621795654296875,34.35496139526367,139.57742309570312,34.14188766479492,48.79777908325195,105.51876831054688,128.87689208984375,24.287986755371094,,54.829246520996094,25.450666427612305
2015-01-07,73.3265380859375,84.0968246459961,132.2209014892578,105.33161926269531,56.876373291015625,34.0099983215332,59.4819450378418,49.92280960083008,180.11660766601562,49.02243423461914,171.43734741210938,46.99015808105469,107.17288970947266,28.399906158447266,17.785118103027344,,23.337751388549805,17.93181800842285,59.350982666015625,34.87559127807617,142.43727111816406,34.698814392089844,50.061885833740234,106.9658203125,131.24855041503906,24.455604553222656,,55.3358268737793,25.528287887573242
2015-01-08,74.16618347167969,84.87831115722656,133.4491424560547,105.75595092773438,56.28346252441406,34.75,60.42036056518555,50.57602310180664,182.26834106445312,49.57374572753906,172.54112243652344,47.69757843017578,106.70597839355469,28.020362854003906,17.97311782836914,,23.768287658691406,17.99269676208496,59.50288009643555,34.88349151611328,144.3778839111328,33.78194808959961,49.884464263916016,108.03413391113281,131.05987548828125,24.50168800354004,,55.10682678222656,25.803457260131836
2015-01-09,73.95230865478516,84.44510650634766,133.858642578125,106.28825378417969,56.84709167480469,34.650001525878906,60.30954360961914,50.04024887084961,177.44935607910156,49.94346237182617,173.92857360839844,47.51696014404297,106.80386352539062,28.050487518310547,17.852798461914062,,23.284664154052734,17.95211410522461,59.87509536743164,34.82827377319336,144.8155517578125,34.182647705078125,49.78097915649414,107.65538024902344,132.4410858154297,24.58617401123047,,55.162353515625,25.76818084716797
2015-01-12,74.43550872802734,84.07982635498047,135.01734924316406,106.72801208496094,57.62301254272461,34.5,60.235626220703125,50.50996780395508,177.44126892089844,50.520729064941406,175.04803466796875,48.194278717041016,107.4365005493164,28.496301651000977,17.890396118164062,,23.190303802490234,18.060338973999023,61.416969299316406,35.183250427246094,144.56024169921875,34.6580810546875,50.527610778808594,107.3154525756836,132.56906127929688,24.870365142822266,,55.995113372802734,25.803457260131836
2015-01-13,74.68106842041016,83.14539337158203,134.87826538085938,106.49657440185547,56.64946365356445,34.09000015258789,60.095252990722656,51.22188949584961,177.74398803710938,50.00182342529297,175.36341857910156,48.24694061279297,106.8641357421875,28.442081451416016,17.86031723022461,,23.408523559570312,18.141508102416992,61.263553619384766,34.481163024902344,145.1220245361328,34.72599792480469,50.25409698486328,107.40286254882812,132.65667724609375,24.64762306213379,,56.12001037597656,25.888139724731445
2015-01-14,75.12464141845703,82.61875915527344,136.61642456054688,107.74640655517578,57.095985412597656,33.7599983215332,60.33168411254883,52.12464141845703,179.0775604248047,50.64397430419922,177.7284393310547,48.75117111206055,107.782958984375,28.76137924194336,17.837757110595703,,23.59135627746582,18.445899963378906,61.8310432434082,34.48905944824219,145.04904174804688,35.11309051513672,51.104225158691406,106.78130340576172,133.8290252685547,24.885730743408203,,56.83477783203125,25.711734771728516
2015-01-15,75.44940948486328,81.78627014160156,137.1185302734375,107.98553466796875,57.71817398071289,33.2400016784668,60.316917419433594,52.49894332885742,178.5294189453125,50.93583297729492,179.17120361328125,49.2327995300293,107.6850357055664,29.014413833618164,17.867839813232422,,23.803682327270508,18.452659606933594,61.838722229003906,34.528507232666016,145.50140380859375,35.45949172973633,50.31324005126953,105.26626586914062,134.79930114746094,25.15455436706543,,57.716102600097656,25.6623477935791
2015-01-16,76.59799194335938,82.7546615600586,138.33908081054688,108.8495864868164,58.054893493652344,33.09000015258789,61.05581283569336,52.91730499267578,180.19024658203125,51.49365997314453,179.88075256347656,50.19609832763672,108.63404083251953,29.04454231262207,17.837757110595703,,23.785987854003906,18.743520736694336,62.45220184326172,34.82827377319336,147.5514373779297,35.846622467041016,51.192928314208984,106.36370086669922,135.29104614257812,25.438745498657227,,58.50721740722656,25.845800399780273
